  SAMPLE,    SiO2,   Al2O3,    TiO2,     FeO,     MnO,     MgO,     CaO,    Na2O,     K2O,   Cr2O3,       F,      Cl,   TOTAL,Kaolinite%,Dolomite%,Talc%,Quartz%
1,63.03,2.51,0.07,0.10,-0.20,29.48,0.01,0.04,0.11,-0.12,0.60,0.06,95.70,,,,
2,63.79,0.97,0.07,-0.09,-0.19,30.88,0.01,0.12,-0.01,0.07,0.91,0.04,96.57,,,,
3,60.07,7.75,0.47,0.39,-0.32,25.61,0.06,0.03,0.42,0.18,0.71,-0.02,95.35,,,,
4,61.95,2.75,0.04,0.20,-0.18,28.85,0.04,0.06,0.07,-0.29,0.60,-0.02,94.09,,,,
5,63.22,0.98,0.12,-0.12,0.02,30.53,0.02,0.01,0.03,0.29,0.41,0.02,95.53,,,,
6,54.09,21.07,0.86,0.61,0.07,13.73,0.15,0.10,0.13,-0.17,0.82,-0.01,91.47,,,,
7,63.61,3.06,0.09,0.07,0.18,29.00,0.07,0.07,0.04,0.21,1.52,-0.01,97.90,,,,
8,64.70,1.09,0.07,0.16,-0.01,30.72,0.08,0.00,0.00,0.06,0.91,0.01,97.78,,,,
9,60.48,13.49,1.08,0.43,0.11,19.07,0.31,0.14,0.21,0.17,0.31,-0.02,95.78,,,,
10,63.64,0.31,0.03,-0.19,-0.03,31.15,0.02,0.03,0.03,0.34,0.51,0.01,95.84,,,,
11,61.97,21.18,0.70,0.61,-0.11,8.19,0.24,0.11,0.41,-0.08,0.21,0.04,93.47,,,,
12,59.56,8.75,0.39,0.23,-0.23,22.96,1.75,0.64,0.16,-0.23,0.00,-0.06,93.92,,,,
13,65.09,7.27,0.64,0.43,0.40,19.36,0.18,0.03,0.17,-0.26,-0.10,-0.03,93.19,,,,
14,61.25,6.01,0.44,0.27,-0.06,26.75,0.25,0.02,0.17,0.08,0.71,0.01,95.89,,,,
15,53.00,12.76,0.64,0.51,-0.07,18.31,2.85,0.03,0.13,-0.14,0.72,0.03,88.76,,,,
16,58.12,13.24,0.47,0.50,0.19,20.72,0.40,0.16,0.30,0.05,0.51,0.03,94.69,,,,
17,58.07,12.43,0.32,0.29,0.05,22.24,0.20,0.05,0.43,0.09,0.41,0.01,94.58,,,,
18,51.06,13.01,0.65,0.28,-0.10,18.78,4.00,0.14,0.09,-0.22,0.31,0.02,88.02,,,,
19,66.47,12.69,0.57,0.44,-0.20,11.64,0.22,0.09,0.14,0.17,-0.21,0.03,92.04,,,,
20,57.62,11.04,0.38,0.30,-0.05,21.88,0.48,0.07,0.22,-0.10,0.61,-0.01,92.46,,,,
