"","SAMPLE","SiO2","Al2O3","TiO2","FeO","MnO","MgO","CaO","Na2O","K2O","Cr2O3","F","Cl","TOTAL","Kaolinite.","Dolomite.","Talc.","Quartz.","MgForTalc","remainSi","new"
"1",1,63.03,2.51,0.07,0.1,-0.2,29.48,0.01,0.04,0.11,-0.12,0.6,0.06,95.7,2.62,0.01,30.79,32.45,29.47,31.05,65.87
"2",2,63.79,0.97,0.07,-0.09,-0.19,30.88,0.01,0.12,-0.01,0.07,0.91,0.04,96.57,1,0.01,31.97,33.08,30.87,31.95,66.06
"3",3,60.07,7.75,0.47,0.39,-0.32,25.61,0.06,0.03,0.42,0.18,0.71,-0.02,95.35,8.13,0.06,26.8,28.08,25.55,26.77,63.07
"4",4,61.95,2.75,0.04,0.2,-0.18,28.85,0.04,0.06,0.07,-0.29,0.6,-0.02,94.09,2.92,0.04,30.62,32.3,28.81,30.39,65.88
"5",5,63.22,0.98,0.12,-0.12,0.02,30.53,0.02,0.01,0.03,0.29,0.41,0.02,95.53,1.03,0.02,31.94,33.21,30.51,31.73,66.2
"6",6,54.09,21.07,0.86,0.61,0.07,13.73,0.15,0.1,0.13,-0.17,0.82,-0.01,91.47,23.03,0.16,14.85,21.25,13.58,19.44,59.29
"7",7,63.61,3.06,0.09,0.07,0.18,29,0.07,0.07,0.04,0.21,1.52,-0.01,97.9,3.13,0.07,29.55,32.3,28.93,31.62,65.05
"8",8,64.7,1.09,0.07,0.16,-0.01,30.72,0.08,0,0,0.06,0.91,0.01,97.78,1.11,0.08,31.34,33.72,30.64,32.97,66.25
"9",9,60.48,13.49,1.08,0.43,0.11,19.07,0.31,0.14,0.21,0.17,0.31,-0.02,95.78,14.08,0.32,19.59,29.47,18.76,28.23,63.46
"10",10,63.64,0.31,0.03,-0.19,-0.03,31.15,0.02,0.03,0.03,0.34,0.51,0.01,95.84,0.32,0.02,32.48,33.6,31.13,32.2,66.42
"11",11,61.97,21.18,0.7,0.61,-0.11,8.19,0.24,0.11,0.41,-0.08,0.21,0.04,93.47,22.66,0.26,8.51,35.13,7.95,32.84,66.56
"12",12,59.56,8.75,0.39,0.23,-0.23,22.96,1.75,0.64,0.16,-0.23,0,-0.06,93.92,9.32,1.86,22.58,31.52,21.21,29.6,65.28
"13",13,65.09,7.27,0.64,0.43,0.4,19.36,0.18,0.03,0.17,-0.26,-0.1,-0.03,93.19,7.8,0.19,20.58,41.46,19.18,38.64,70.03
"14",14,61.25,6.01,0.44,0.27,-0.06,26.75,0.25,0.02,0.17,0.08,0.71,0.01,95.89,6.27,0.26,27.64,29.97,26.5,28.74,64.14
"15",15,53,12.76,0.64,0.51,-0.07,18.31,2.85,0.03,0.13,-0.14,0.72,0.03,88.76,14.38,3.21,17.42,27.92,15.46,24.78,62.93
"16",16,58.12,13.24,0.47,0.5,0.19,20.72,0.4,0.16,0.3,0.05,0.51,0.03,94.69,13.98,0.42,21.46,25.94,20.32,24.56,61.8
"17",17,58.07,12.43,0.32,0.29,0.05,22.24,0.2,0.05,0.43,0.09,0.41,0.01,94.58,13.14,0.21,23.3,24.95,22.04,23.6,61.6
"18",18,51.06,13.01,0.65,0.28,-0.1,18.78,4,0.14,0.09,-0.22,0.31,0.02,88.02,14.78,4.54,16.79,26.44,14.78,23.27,62.55
"19",19,66.47,12.69,0.57,0.44,-0.2,11.64,0.22,0.09,0.14,0.17,-0.21,0.03,92.04,13.79,0.24,12.41,46.02,11.42,42.36,72.46
"20",20,57.62,11.04,0.38,0.3,-0.05,21.88,0.48,0.07,0.22,-0.1,0.61,-0.01,92.46,11.94,0.52,23.15,27.23,21.4,25.18,62.84
